2019-04-15 09:20:30.837 INFO  CarPark:104 - Available parking slots for motorcycles: 15, for cars: 20, for small buses: 5
2019-04-15 09:20:30.866 INFO  Job:39 - A motorcycle has entered at 9 hours 20 minute and parked in parking space Motorcycle_0. Remaining parking spaces for motorcycle is 14
2019-04-15 09:20:40.704 INFO  Job:36 - The motorcycle parked at parking space Motorcycle_0 has left at 9 hour 20 minute. Total time parked is 0 hours 10 minutes, for a total parking fee of 10. Available parking spaces for motorcycle is 15
2019-04-15 09:20:45.705 INFO  CarPark:104 - Available parking slots for motorcycles: 15, for cars: 20, for small buses: 5
2019-04-15 09:20:50.715 INFO  Job:39 - A motorcycle has entered at 9 hours 20 minute and parked in parking space Motorcycle_0. Remaining parking spaces for motorcycle is 14
2019-04-15 09:20:50.718 INFO  Job:39 - A motorcycle has entered at 9 hours 20 minute and parked in parking space Motorcycle_1. Remaining parking spaces for motorcycle is 13
2019-04-15 09:21:00.702 INFO  Job:36 - The motorcycle parked at parking space Motorcycle_1 has left at 9 hour 21 minute. Total time parked is 0 hours 10 minutes, for a total parking fee of 10. Available parking spaces for motorcycle is 14
2019-04-15 09:21:00.703 INFO  CarPark:104 - Available parking slots for motorcycles: 14, for cars: 20, for small buses: 5
2019-04-15 09:21:10.704 INFO  Job:36 - The motorcycle parked at parking space Motorcycle_0 has left at 9 hour 21 minute. Total time parked is 0 hours 20 minutes, for a total parking fee of 10. Available parking spaces for motorcycle is 15
2019-04-15 09:21:10.707 INFO  Job:39 - A motorcycle has entered at 9 hours 21 minute and parked in parking space Motorcycle_0. Remaining parking spaces for motorcycle is 14
2019-04-15 09:21:10.708 INFO  Job:39 - A motorcycle has entered at 9 hours 21 minute and parked in parking space Motorcycle_1. Remaining parking spaces for motorcycle is 13
2019-04-15 09:21:15.709 INFO  CarPark:104 - Available parking slots for motorcycles: 13, for cars: 20, for small buses: 5
2019-04-15 09:21:20.714 INFO  Job:36 - The motorcycle parked at parking space Motorcycle_0 has left at 9 hour 21 minute. Total time parked is 0 hours 11 minutes, for a total parking fee of 10. Available parking spaces for motorcycle is 14
2019-04-15 09:21:30.700 INFO  Job:36 - The motorcycle parked at parking space Motorcycle_1 has left at 9 hour 21 minute. Total time parked is 0 hours 20 minutes, for a total parking fee of 10. Available parking spaces for motorcycle is 15
2019-04-15 09:21:30.701 INFO  CarPark:104 - Available parking slots for motorcycles: 15, for cars: 20, for small buses: 5
2019-04-15 09:21:45.703 INFO  CarPark:104 - Available parking slots for motorcycles: 15, for cars: 20, for small buses: 5
2019-04-15 09:21:50.711 INFO  Job:39 - A car has entered at 9 hours 21 minute and parked in parking space Car_0. Remaining parking spaces for car is 19
2019-04-15 09:22:00.711 INFO  CarPark:104 - Available parking slots for motorcycles: 15, for cars: 19, for small buses: 5
2019-04-15 09:22:10.702 INFO  Job:39 - A motorcycle has entered at 9 hours 22 minute and parked in parking space Motorcycle_0. Remaining parking spaces for motorcycle is 14
2019-04-15 09:22:15.706 INFO  CarPark:104 - Available parking slots for motorcycles: 14, for cars: 19, for small buses: 5
2019-04-15 09:22:20.701 INFO  Job:36 - The motorcycle parked at parking space Motorcycle_0 has left at 9 hour 22 minute. Total time parked is 0 hours 10 minutes, for a total parking fee of 10. Available parking spaces for motorcycle is 15
2019-04-15 09:22:30.702 INFO  Job:36 - The car parked at parking space Car_0 has left at 9 hour 22 minute. Total time parked is 0 hours 40 minutes, for a total parking fee of 30. Available parking spaces for car is 20
2019-04-15 09:22:30.703 INFO  CarPark:104 - Available parking slots for motorcycles: 15, for cars: 20, for small buses: 5
2019-04-15 09:22:45.702 INFO  CarPark:104 - Available parking slots for motorcycles: 15, for cars: 20, for small buses: 5
2019-04-15 09:22:50.701 INFO  Job:39 - A car has entered at 9 hours 22 minute and parked in parking space Car_0. Remaining parking spaces for car is 19
2019-04-15 09:23:00.702 INFO  CarPark:104 - Available parking slots for motorcycles: 15, for cars: 19, for small buses: 5
2019-04-15 09:23:10.701 INFO  Job:36 - The car parked at parking space Car_0 has left at 9 hour 23 minute. Total time parked is 0 hours 20 minutes, for a total parking fee of 30. Available parking spaces for car is 20
2019-04-15 09:23:10.703 INFO  Job:39 - A car has entered at 9 hours 23 minute and parked in parking space Car_0. Remaining parking spaces for car is 19
2019-04-15 09:23:10.704 INFO  Job:39 - A smallbus has entered at 9 hours 23 minute and parked in parking space SmallBus_0. Remaining parking spaces for smallbus is 4
2019-04-15 09:23:15.702 INFO  CarPark:104 - Available parking slots for motorcycles: 15, for cars: 19, for small buses: 4
2019-04-15 09:23:20.702 INFO  Job:36 - The smallbus parked at parking space SmallBus_0 has left at 9 hour 23 minute. Total time parked is 0 hours 10 minutes, for a total parking fee of 40. Available parking spaces for smallbus is 5
2019-04-15 09:23:30.701 INFO  Job:36 - The car parked at parking space Car_0 has left at 9 hour 23 minute. Total time parked is 0 hours 20 minutes, for a total parking fee of 30. Available parking spaces for car is 20
2019-04-15 09:23:30.702 INFO  Job:39 - A smallbus has entered at 9 hours 23 minute and parked in parking space SmallBus_0. Remaining parking spaces for smallbus is 4
2019-04-15 09:23:30.704 INFO  Job:39 - A motorcycle has entered at 9 hours 23 minute and parked in parking space Motorcycle_0. Remaining parking spaces for motorcycle is 14
2019-04-15 09:23:30.705 INFO  CarPark:104 - Available parking slots for motorcycles: 14, for cars: 20, for small buses: 4
2019-04-15 09:23:40.702 INFO  Job:36 - The motorcycle parked at parking space Motorcycle_0 has left at 9 hour 23 minute. Total time parked is 0 hours 10 minutes, for a total parking fee of 10. Available parking spaces for motorcycle is 15
2019-04-15 09:23:45.702 INFO  CarPark:104 - Available parking slots for motorcycles: 15, for cars: 20, for small buses: 4
2019-04-15 09:24:00.700 INFO  Job:36 - The smallbus parked at parking space SmallBus_0 has left at 9 hour 24 minute. Total time parked is 0 hours 30 minutes, for a total parking fee of 40. Available parking spaces for smallbus is 5
2019-04-15 09:24:00.701 INFO  CarPark:104 - Available parking slots for motorcycles: 15, for cars: 20, for small buses: 5
2019-04-15 09:24:15.703 INFO  CarPark:104 - Available parking slots for motorcycles: 15, for cars: 20, for small buses: 5
